batch_index,record_id,artist,title,duration_s,qa_status,diagnosis,confidence,median_ms,p90_ms,max_ms,coverage,human_judgment,notes
6,recHCghZX1WzlXTVy,Barry White,"Can't Get Enough of Your Love, Babe",[274],SYNC_VERIFIED,good,high,120.0,216.0,320.0,1.0,GOOD,
17,recSZuYkWrWkI7Lf0,Ed Sheeran,Shape Of You,[233.713],SYNC_VERIFIED,good,high,85.0,182.99999999999997,280.0,1.0,GOOD,
19,rec3QDfriEyaxj2R0,ACDC,Highway to Hell,[208.4],SYNC_VERIFIED,good,high,109.0,216.99999999999997,232.0,1.0,GOOD,
20,rec7Io4H0umSqC8J9,Pakito,Living on video,[199.093],SYNC_VERIFIED,good,high,80.0,144.0,150.0,1.0,GOOD,
22,recGAStJyMLzLnotF,L5,Toutes les femmes de ta vie,[195.267],SYNC_VERIFIED,good,high,95.0,285.0,645.0,1.0,UNCLEAR,
26,reccdlpH594Ui7d3g,The Pasadenas,Tribute (Right On),[310.869],SYNC_VERIFIED,good,high,100.0,230.0,440.0,1.0,GOOD,
40,recnNEqokxEg1GGqn,N-Trance,Stayin' alive,[245.467],SYNC_VERIFIED,good,high,55.0,210.0,300.0,1.0,GOOD,
43,reckBmndcflFc2YEk,Mario,Let Me Love You,[249.12],SYNC_VERIFIED,good,high,102.54999999998836,281.05000000001166,415.45000000001164,1.0,UNCLEAR,
47,recBGhfWYhyFkM2EA,Naughty By Nature,Hip Hop Hooray,[267.267],SYNC_VERIFIED,good,high,80.0,180.0,310.0,1.0,GOOD,
96,recOu1l0G2FRPDVen,Michel Sardou,Etre une femme,[255.227],SYNC_VERIFIED,good,high,99.95000000001164,240.04999999999418,839.9500000000007,0.9912280701754386,UNCLEAR,
5,recJ4MfcBKgXvg6Ci,Pierre Bachelet,Les Corons,[254.44],SYNC_NEEDS_REVIEW,good,high,154.95000000001164,656.9999999999999,1145.0,1.0,UNCLEAR,
13,recwN5MJjoOMzYfGZ,Change,A Lover's Holiday,[253.053],SYNC_NEEDS_REVIEW,local_mismatch,medium,65.0,195.0,285.0,0.96875,UNCLEAR,
32,recSLGwdbOt3b74Mk,Ultra Naté,Free,[353.36],SYNC_NEEDS_REVIEW,local_mismatch,medium,90.09999999997672,189.90000000002328,310.0999999999767,0.9809523809523809,UNCLEAR,
48,recFJfpiwwLm0XRNj,Queen,Don't Stop Me Now,[209.413],SYNC_NEEDS_REVIEW,local_mismatch,medium,95.0,185.00000000000014,595.0,0.9833333333333333,UNCLEAR,
49,recnTOhT9dXDHcfKr,"Estelle, Kanye West",American Boy,[284.733],SYNC_NEEDS_REVIEW,good,high,60.0,180.0,2110.0,1.0,UNCLEAR,
65,rec9KLsAqaXELX6Js,Cher,Believe,[239.027],SYNC_NEEDS_REVIEW,good,high,103.0,171.00000000000006,1783.0,1.0,UNCLEAR,
73,recuSdKSQhHTuzvg7,Beyoncé,Run the World (Girls),[236.093],SYNC_NEEDS_REVIEW,good,high,102.5,249.70000000000002,2467.0,1.0,UNCLEAR,
84,rec6G4hhPZrH4CAnz,Madonna,Lucky Star,[337.84],SYNC_NEEDS_REVIEW,good,high,80.0,200.0,2690.0,1.0,UNCLEAR,
97,recNuJY4yIXmgGPk0,MGMT,Kids,[302.84],SYNC_NEEDS_REVIEW,local_mismatch,medium,165.0,240.04999999998836,2490.0,1.0,UNCLEAR,
98,recEayrnSkXeTY9oG,Nelly Furtado,Say It Right,[223.08],SYNC_NEEDS_REVIEW,good,high,90.0,209.0,1525.0,1.0,UNCLEAR,
8,recAOn6iqZkV1NdbW,Gigi D'Agostino,L'Amour Toujours,[242.053],SYNC_FAILED,local_mismatch,high,65.0,236.0,310.0,0.4864864864864865,BAD,
15,rec6vKVyc1SNepXcZ,KC & The Sunshine Band,That's the Way (I Like It),[306.147],SYNC_FAILED,suspected_wrong_version,high,85.20000000000073,195.0,255.0,1.0,BAD,
16,receAJdZksaxLZj34,Jean-Jacques Goldman,Je Marche Seul,[243.56],SYNC_FAILED,local_mismatch,high,70.0,146.00000000000009,210.0,0.9666666666666667,BAD,
21,recFaJSDp9Z93MPAp,Rockwell,Somebody's Watching Me,[298.867],SYNC_FAILED,suspected_wrong_version,high,85.0,200.0,270.0,1.0,BAD,
23,recYufkjHiQju4Soa,Danzel,Pump It Up,[226.947],SYNC_FAILED,local_mismatch,high,120.0,240.0,450.0,0.948051948051948,BAD,
42,recBKaLRwcc74hgIi,"Gary Byrd & The G.B. Experience, Stevie Wonder",The Crown,[268.107],SYNC_FAILED,suspected_wrong_version,high,75.0,213.00000000000006,340.09999999999127,1.0,BAD,
55,recOGJOSSEqUTVSrh,The Prodigy,Smack My Bitch Up,[343.387],SYNC_FAILED,suspected_wrong_version,high,55.0,94.0,115.0,1.0,BAD,
63,recVPvDfLxaBFxdhx,"Alan Braxe, Fred Falke",Intro,[294.72],SYNC_FAILED,suspected_wrong_version,high,60.0,228.00000000000006,325.0,1.0,BAD,
86,recyafsEy3kDuOhZi,Joe Dassin,Les Champs-Élysées,[157.627],SYNC_FAILED,local_mismatch,high,110.0,250.0,540.0,0.8181818181818182,BAD,
91,recV0adkr6uAnb0CP,"Céline Dion, Jean-Jacques Goldman",J'irai où tu iras,[207.04],SYNC_FAILED,local_mismatch,high,90.0,276.0000000000001,1020.0,0.9545454545454546,BAD,
